SCHLAGSATZ,SCHLAGNR,KTA_VJ,KTA_AJ,SCHLAGFLAE,LE_FLAECHE,AUKM,OER_VJ,OEKOREGELN,GLOEZ6,GLOEZ_ZF_U,KUP,SONSTIGE,ANSAATJAHR,ERNTEJAHR,BEMERKUNG,dist_to_water_m,fertilizer_amount_N_kg_per_ha,area_ha,n_applied_kg_ha,n_total_kg,n_estimated_to_water_kg
206851455,7721,928,928,3716,0,"JM,K",,,3,,,,,,,2671.1386746941535,50,0.8816943288150249,,,
206851461,3500,451,451,2406,0,,,,,,,,,,,1415.3744136059634,40,0.5707361571693899,,,
206851456,7720,210,131,10231,44,,ÖR2,ÖR2,3,,,,,,,2987.5519816282745,50,2.426843175056105,,,
206851457,7709,928,928,5126,0,"JO,K",,,3,,,,,,,16.339682994214947,0,1.227844445794276,,,
206851458,7001,62,910,0,0,,ÖR2,ÖR2,3,,,,,,,518.6210249806568,0,0.1954533912135498,,,
206851459,3900,451,451,2138,0,,,,,,,,,,,1503.2616411364352,40,0.5074821563330343,,,
206851460,3600,451,451,2173,0,,,,,,,,,,,1395.1955328269614,40,0.5154931591056376,,,
206851462,3400,451,451,21140,81,,,,,,,,,,,732.5748897003414,0,5.015253792822913,,,
206851463,3200,451,451,0,0,,,,,,,,,,,616.5204182942138,0,0.20528063861640608,,,
206851464,1021,990,990,0,0,,,,,,,,,,,1804.3546608954673,40,1.2243065664979274,,,
206851465,1020,451,451,0,0,,,,,,,,,,,1912.1926913773254,40,0.3601468117070592,,,
206851469,210,995,995,5454,0,,,,,,,,,,,425.39418520154356,0,1.2934735662315477,,,
206851470,208,995,995,2366,0,,,,,,,,,,,1549.6802135546886,40,0.5613037886626988,,,
